maroon #800000FF
darkred #8B0000FF
brown #A52A2AFF
firebrick #B22222FF
crimson #DC143CFF
tomato #FF6347FF
coral #FF7F50FF
indianred #CD5C5CFF
lightcoral #F08080FF
darksalmon #E9967AFF
salmon #FA8072FF
lightsalmon #FFA07AFF
orangered #FF4500FF
darkorange #FF8C00FF
orange #FFA500FF
gold #FFD700FF
darkgoldenrod #B8860BFF
goldenrod #DAA520FF
palegoldenrod #EEE8AAFF
darkkhaki #BDB76BFF
khaki #F0E68CFF
olive #808000FF
yellowgreen #9ACD32FF
darkolivegreen #556B2FFF
olivedrab #6B8E23FF
lawngreen #7CFC00FF
chartreuse #7FFF00FF
greenyellow #ADFF2FFF
darkgreen #006400FF
forestgreen #228B22FF
lime #00FF00FF
limegreen #32CD32FF
palegreen #98FB98FF
darkseagreen #8FBC8FFF
mediumspringgreen #00FA9AFF
springgreen #00FF7FFF
seagreen #2E8B57FF
mediumaquamarine #66CDAAFF
mediumseagreen #3CB371FF
lightseagreen #20B2AAFF
darkslategray #2F4F4FFF
teal #008080FF
darkcyan #008B8BFF
aqua #00FFFFFF
cyan #00FFFFFF
lightcyan #E0FFFFFF
darkturquoise #00CED1FF
turquoise #40E0D0FF
mediumturquoise #48D1CCFF
paleturquoise #AFEEEEFF
aquamarine #7FFFD4FF
powderblue #B0E0E6FF
cadetblue #5F9EA0FF
steelblue #4682B4FF
cornflowerblue #6495EDFF
deepskyblue #00BFFFFF
dodgerblue #1E90FFFF
skyblue #87CEEBFF
lightskyblue #87CEFAFF
midnightblue #191970FF
navy #000080FF
darkblue #00008BFF
mediumblue #0000CDFF
royalblue #4169E1FF
blueviolet #8A2BE2FF
indigo #4B0082FF
darkslateblue #483D8BFF
slateblue #6A5ACDFF
mediumslateblue #7B68EEFF
mediumpurple #9370DBFF
darkmagenta #8B008BFF
darkviolet #9400D3FF
darkorchid #9932CCFF
mediumorchid #BA55D3FF
purple #800080FF
thistle #D8BFD8FF
plum #DDA0DDFF
violet #EE82EEFF
fuchsia #FF00FFFF
orchid #DA70D6FF
mediumvioletred #C71585FF
palevioletred #DB7093FF
deeppink #FF1493FF
lightpink #FFB6C1FF
pink #FFC0CBFF
antiquewhite #FAEBD7FF
beige #F5F5DCFF
bisque #FFE4C4FF
blanchedalmond #FFEBCDFF
wheat #F5DEB3FF
cornsilk #FFF8DCFF
lemonchiffon #FFFACDFF
lightgoldenrodyellow #FAFAD2FF
lightyellow #FFFFE0FF
saddlebrown #8B4513FF
sienna #A0522DFF
chocolate #D2691EFF
peru #CD853FFF
sandybrown #F4A460FF
burlywood #DEB887FF
tan #D2B48CFF
rosybrown #BC8F8FFF
moccasin #FFE4B5FF
navajowhite #FFDEADFF
peachpuff #FFDAB9FF
mistyrose #FFE4E1FF
lavenderblush #FFF0F5FF
linen #FAF0E6FF
oldlace #FDF5E6FF
papayawhip #FFEFD5FF
seashell #FFF5EEFF
mintcream #F5FFFAFF
slategray #708090FF
lightslategray #778899FF
lightsteelblue #B0C4DEFF
lavender #E6E6FAFF
floralwhite #FFFAF0FF
aliceblue #F0F8FFFF
ghostwhite #F8F8FFFF
honeydew #F0FFF0FF
ivory #FFFFF0FF
azure #F0FFFFFF
snow #FFFAFAFF
dimgray #696969FF
gray #808080FF
darkgray #A9A9A9FF
silver #C0C0C0FF
lightgray #D3D3D3FF
gainsboro #DCDCDCFF
whitesmoke #F5F5F5FF
