MAROON maroon 0x800000FF
DARKRED darkred 0x8B0000FF
BROWN brown 0xA52A2AFF
FIREBRICK firebrick 0xB22222FF
CRIMSON crimson 0xDC143CFF
TOMATO tomato 0xFF6347FF
CORAL coral 0xFF7F50FF
INDIANRED indianred 0xCD5C5CFF
LIGHTCORAL lightcoral 0xF08080FF
DARKSALMON darksalmon 0xE9967AFF
SALMON salmon 0xFA8072FF
LIGHTSALMON lightsalmon 0xFFA07AFF
ORANGERED orangered 0xFF4500FF
DARKORANGE darkorange 0xFF8C00FF
ORANGE orange 0xFFA500FF
GOLD gold 0xFFD700FF
DARKGOLDENROD darkgoldenrod 0xB8860BFF
GOLDENROD goldenrod 0xDAA520FF
PALEGOLDENROD palegoldenrod 0xEEE8AAFF
DARKKHAKI darkkhaki 0xBDB76BFF
KHAKI khaki 0xF0E68CFF
OLIVE olive 0x808000FF
YELLOWGREEN yellowgreen 0x9ACD32FF
DARKOLIVEGREEN darkolivegreen 0x556B2FFF
OLIVEDRAB olivedrab 0x6B8E23FF
LAWNGREEN lawngreen 0x7CFC00FF
CHARTREUSE chartreuse 0x7FFF00FF
GREENYELLOW greenyellow 0xADFF2FFF
DARKGREEN darkgreen 0x006400FF
FORESTGREEN forestgreen 0x228B22FF
LIME lime 0x00FF00FF
LIMEGREEN limegreen 0x32CD32FF
PALEGREEN palegreen 0x98FB98FF
DARKSEAGREEN darkseagreen 0x8FBC8FFF
MEDIUMSPRINGGREEN mediumspringgreen 0x00FA9AFF
SPRINGGREEN springgreen 0x00FF7FFF
SEAGREEN seagreen 0x2E8B57FF
MEDIUMAQUAMARINE mediumaquamarine 0x66CDAAFF
MEDIUMSEAGREEN mediumseagreen 0x3CB371FF
LIGHTSEAGREEN lightseagreen 0x20B2AAFF
DARKSLATEGRAY darkslategray 0x2F4F4FFF
TEAL teal 0x008080FF
DARKCYAN darkcyan 0x008B8BFF
AQUA aqua 0x00FFFFFF
CYAN cyan 0x00FFFFFF
LIGHTCYAN lightcyan 0xE0FFFFFF
DARKTURQUOISE darkturquoise 0x00CED1FF
TURQUOISE turquoise 0x40E0D0FF
MEDIUMTURQUOISE mediumturquoise 0x48D1CCFF
PALETURQUOISE paleturquoise 0xAFEEEEFF
AQUAMARINE aquamarine 0x7FFFD4FF
POWDERBLUE powderblue 0xB0E0E6FF
CADETBLUE cadetblue 0x5F9EA0FF
STEELBLUE steelblue 0x4682B4FF
CORNFLOWERBLUE cornflowerblue 0x6495EDFF
DEEPSKYBLUE deepskyblue 0x00BFFFFF
DODGERBLUE dodgerblue 0x1E90FFFF
SKYBLUE skyblue 0x87CEEBFF
LIGHTSKYBLUE lightskyblue 0x87CEFAFF
MIDNIGHTBLUE midnightblue 0x191970FF
NAVY navy 0x000080FF
DARKBLUE darkblue 0x00008BFF
MEDIUMBLUE mediumblue 0x0000CDFF
ROYALBLUE royalblue 0x4169E1FF
BLUEVIOLET blueviolet 0x8A2BE2FF
INDIGO indigo 0x4B0082FF
DARKSLATEBLUE darkslateblue 0x483D8BFF
SLATEBLUE slateblue 0x6A5ACDFF
MEDIUMSLATEBLUE mediumslateblue 0x7B68EEFF
MEDIUMPURPLE mediumpurple 0x9370DBFF
DARKMAGENTA darkmagenta 0x8B008BFF
DARKVIOLET darkviolet 0x9400D3FF
DARKORCHID darkorchid 0x9932CCFF
MEDIUMORCHID mediumorchid 0xBA55D3FF
PURPLE purple 0x800080FF
THISTLE thistle 0xD8BFD8FF
PLUM plum 0xDDA0DDFF
VIOLET violet 0xEE82EEFF
FUCHSIA fuchsia 0xFF00FFFF
ORCHID orchid 0xDA70D6FF
MEDIUMVIOLETRED mediumvioletred 0xC71585FF
PALEVIOLETRED palevioletred 0xDB7093FF
DEEPPINK deeppink 0xFF1493FF
LIGHTPINK lightpink 0xFFB6C1FF
PINK pink 0xFFC0CBFF
ANTIQUEWHITE antiquewhite 0xFAEBD7FF
BEIGE beige 0xF5F5DCFF
BISQUE bisque 0xFFE4C4FF
BLANCHEDALMOND blanchedalmond 0xFFEBCDFF
WHEAT wheat 0xF5DEB3FF
CORNSILK cornsilk 0xFFF8DCFF
LEMONCHIFFON lemonchiffon 0xFFFACDFF
LIGHTGOLDENRODYELLOW lightgoldenrodyellow 0xFAFAD2FF
LIGHTYELLOW lightyellow 0xFFFFE0FF
SADDLEBROWN saddlebrown 0x8B4513FF
SIENNA sienna 0xA0522DFF
CHOCOLATE chocolate 0xD2691EFF
PERU peru 0xCD853FFF
SANDYBROWN sandybrown 0xF4A460FF
BURLYWOOD burlywood 0xDEB887FF
TAN tan 0xD2B48CFF
ROSYBROWN rosybrown 0xBC8F8FFF
MOCCASIN moccasin 0xFFE4B5FF
NAVAJOWHITE navajowhite 0xFFDEADFF
PEACHPUFF peachpuff 0xFFDAB9FF
MISTYROSE mistyrose 0xFFE4E1FF
LAVENDERBLUSH lavenderblush 0xFFF0F5FF
LINEN linen 0xFAF0E6FF
OLDLACE oldlace 0xFDF5E6FF
PAPAYAWHIP papayawhip 0xFFEFD5FF
SEASHELL seashell 0xFFF5EEFF
MINTCREAM mintcream 0xF5FFFAFF
SLATEGRAY slategray 0x708090FF
LIGHTSLATEGRAY lightslategray 0x778899FF
LIGHTSTEELBLUE lightsteelblue 0xB0C4DEFF
LAVENDER lavender 0xE6E6FAFF
FLORALWHITE floralwhite 0xFFFAF0FF
ALICEBLUE aliceblue 0xF0F8FFFF
GHOSTWHITE ghostwhite 0xF8F8FFFF
HONEYDEW honeydew 0xF0FFF0FF
IVORY ivory 0xFFFFF0FF
AZURE azure 0xF0FFFFFF
SNOW snow 0xFFFAFAFF
DIMGRAY dimgray 0x696969FF
GRAY gray 0x808080FF
DARKGRAY darkgray 0xA9A9A9FF
SILVER silver 0xC0C0C0FF
LIGHTGRAY lightgray 0xD3D3D3FF
GAINSBORO gainsboro 0xDCDCDCFF
WHITESMOKE whitesmoke 0xF5F5F5FF
